table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in New Jersey: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New Jersey,"8,791,894","8,791,978","8,799,446","8,828,117","8,844,942","8,856,972","8,864,525","8,867,949","8,870,827","8,885,525","8,886,025","8,882,190"
".Atlantic County, New Jersey","274,549","274,525","274,648","274,621","274,629","274,314","272,578","270,153","267,217","265,498","263,989","263,670"
".Bergen County, New Jersey","905,116","905,107","906,284","911,994","916,255","919,951","923,403","926,391","928,120","932,420","932,816","932,202"
".Burlington County, New Jersey","448,734","448,730","449,129","450,187","450,522","448,824","448,168","446,832","445,972","445,610","444,745","445,349"
".Camden County, New Jersey","513,657","513,535","513,275","512,585","511,584","509,908","508,316","507,638","507,002","506,224","506,353","506,471"
".Cape May County, New Jersey","97,265","97,257","97,212","96,494","96,228","95,498","94,907","94,160","93,655","93,129","92,446","92,039"
".Cumberland County, New Jersey","156,898","156,627","156,699","157,043","156,934","156,098","156,009","154,712","153,233","151,423","150,635","149,527"
".Essex County, New Jersey","783,969","783,891","784,037","785,551","785,063","786,649","788,726","790,439","792,689","796,349","798,570","798,975"
".Gloucester County, New Jersey","288,288","288,756","289,150","289,687","289,804","289,883","290,680","290,943","290,761","290,961","291,525","291,636"
".Hudson County, New Jersey","634,266","634,284","635,652","645,634","652,348","657,047","660,240","664,492","668,588","672,826","671,931","672,391"
".Hunterdon County, New Jersey","128,349","127,361","127,322","127,330","126,594","126,376","125,835","125,452","124,775","124,712","124,807","124,371"
".Mercer County, New Jersey","366,513","367,485","367,713","367,378","368,554","369,429","368,909","368,124","367,699","368,168","368,188","367,430"
".Middlesex County, New Jersey","809,858","810,038","810,758","815,198","819,344","821,743","824,160","825,546","825,457","827,363","826,172","825,062"
".Monmouth County, New Jersey","630,380","630,362","630,461","629,119","627,641","626,912","625,512","624,079","622,971","621,990","620,459","618,795"
".Morris County, New Jersey","492,276","492,281","492,617","494,792","495,620","496,030","494,848","494,259","493,801","493,920","493,070","491,845"
".Ocean County, New Jersey","576,567","576,546","577,564","578,876","579,932","582,059","584,447","587,091","590,897","595,424","601,478","607,186"
".Passaic County, New Jersey","501,226","501,600","502,023","503,264","503,558","503,857","504,547","504,629","504,147","504,402","503,183","501,826"
".Salem County, New Jersey","66,083","66,072","65,980","65,875","65,413","64,786","64,323","63,732","63,203","62,883","62,746","62,385"
".Somerset County, New Jersey","323,444","323,479","324,122","326,249","327,407","329,047","329,329","329,626","329,875","330,573","330,181","328,934"
".Sussex County, New Jersey","149,265","148,936","148,855","148,167","146,979","145,639","144,593","143,004","141,925","141,197","140,801","140,488"
".Union County, New Jersey","536,499","536,464","537,369","539,931","542,970","546,025","548,014","549,905","552,781","554,738","556,402","556,341"
".Warren County, New Jersey","108,692","108,642","108,576","108,142","107,563","106,897","106,981","106,742","106,059","105,715","105,528","105,267"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in New Jersey: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-34)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
