County,Boys Volleyball Teams,High Schools,Students
Atlantic County,2,26,16273
Bergen County,9,98,53147
Burlington County,5,45,27302
Camden County,11,46,31979
Cape May County,,12,4465
Cumberland County,,10,7317
Essex County,21,95,56935
Gloucester County,5,28,19915
Hudson County,14,44,30384
Hunterdon County,1,18,8503
Mercer County,2,40,23218
Middlesex County,14,55,44432
Monmouth County,10,66,40678
Morris County,4,51,29317
Ocean County,11,55,29349
Passaic County,10,51,30403
Salem County,,11,3684
Somerset County,4,35,25424
Sussex County,2,14,8412
Union County,8,53,33408
Warren County,,13,6919
